Wall time,Step,Value
1591360921.3758473,0,0.30865922570228577
1591361564.9428809,1,0.5935754179954529
1591362215.4275804,2,0.7081005573272705
1591362896.8039954,3,0.7527933120727539
1591363597.6878922,4,0.7807262539863586
1591364304.3579824,5,0.7960894107818604
1591364980.7784266,6,0.799580991268158
1591365627.169546,7,0.8065642714500427
1591366263.5357924,8,0.8135474920272827
1591366906.5084379,9,0.7953910827636719
1591367555.5236108,10,0.8149441480636597
1591368201.8510568,11,0.8240223526954651
1591368857.9406264,12,0.8170391321182251
1591369503.3138463,13,0.8331005573272705
1591370171.998712,14,0.8317039012908936
1591370808.6383085,15,0.8379888534545898
1591371452.5084102,16,0.8289105892181396
1591372096.6963117,17,0.8414804339408875
1591372753.9501274,18,0.8512569665908813
1591373404.1629102,19,0.8372905254364014
1591374059.6885192,20,0.8386871218681335
1591374698.9983976,21,0.8519552946090698
1591375341.806693,22,0.8547486066818237
1591375985.5015569,23,0.8540502786636353
1591376645.3476417,24,0.8631284832954407
1591377299.7120204,25,0.840782105922699
1591377984.3805585,26,0.8568435907363892
1591378630.4599357,27,0.8561452627182007
1591379277.0392122,28,0.8603351712226868
1591379921.8418791,29,0.8519552946090698
1591380563.2903948,30,0.8526536226272583
1591381209.3359566,31,0.8701117038726807
1591381844.418647,32,0.8624301552772522
1591382485.8310864,33,0.8631284832954407
1591383127.1642404,34,0.8729050159454346
1591383768.7433736,35,0.8624301552772522
1591384416.1238446,36,0.8638268113136292
1591385052.6063218,37,0.8722066879272461
1591385699.1411328,38,0.8756983280181885
1591386341.8756707,39,0.8868715167045593
1591386988.2615697,40,0.8729050159454346
1591387626.795406,41,0.8659217953681946
1591388271.9876556,42,0.86801677942276
1591388910.125373,43,0.88198322057724
1591389560.8762758,44,0.8743016719818115
1591390198.2602227,45,0.8770949840545654
1591390843.4019787,46,0.8861731886863708
1591391482.10113,47,0.86801677942276
1591392124.9899552,48,0.8652234673500061
1591392763.433379,49,0.8903631567955017
1591393409.3784845,50,0.8791899681091309
1591394043.0217485,51,0.8896648287773132
1591394681.2372181,52,0.8840782046318054
1591395329.5235415,53,0.875
1591395968.8674893,54,0.8868715167045593
1591396612.041805,55,0.8777933120727539
1591397253.2885823,56,0.8868715167045593
1591397898.0158644,57,0.8812848925590515
1591398540.488863,58,0.88198322057724
1591399185.1959472,59,0.873603343963623
1591399820.1002493,60,0.8847765326499939
1591400459.4118803,61,0.875
1591401102.8343897,62,0.8910614252090454
