Wall time,Step,Value
1591265658.846441,0,0.31564244627952576
1591266204.377255,1,0.4525139629840851
1591266754.8359115,2,0.47625699639320374
1591267309.9754722,3,0.5314245820045471
1591267862.971409,4,0.5467877388000488
1591268421.4639378,5,0.5851955413818359
1591268970.43876,6,0.5810055732727051
1591269504.4367435,7,0.5949720740318298
1591270026.9062023,8,0.6124301552772522
1591270574.048784,9,0.6131284832954407
1591271107.6353595,10,0.6340782046318054
1591271641.7620904,11,0.6368715167045593
1591272165.8896525,12,0.6312848925590515
1591272700.9732897,13,0.6508380174636841
1591273224.160007,14,0.6522346138954163
1591273752.4814618,15,0.659217894077301
1591274281.8570788,16,0.6536312699317932
1591274816.7733166,17,0.6480447053909302
1591275335.99922,18,0.6599162220954895
1591275860.2466733,19,0.6522346138954163
1591276393.6301637,20,0.659217894077301
1591276921.605067,21,0.6808659434318542
1591277453.6920722,22,0.6941340565681458
1591277979.3646204,23,0.6696927547454834
1591278510.764607,24,0.673184335231781
1591279041.002698,25,0.6829608678817749
1591279572.9219441,26,0.6829608678817749
1591280098.8737206,27,0.6829608678817749
1591280635.2134624,28,0.6892458200454712
1591281161.7317445,29,0.7053072452545166
1591281707.3611317,30,0.7025139927864075
1591282235.4145308,31,0.6899441480636597
1591282768.5924504,32,0.7053072452545166
1591283300.5093956,33,0.6969273686408997
1591283838.45031,34,0.6962290406227112
1591284363.9577365,35,0.7046089172363281
1591284895.5922332,36,0.714385449886322
1591285427.839585,37,0.6899441480636597
1591285962.3643692,38,0.7150837779045105
1591286487.5354195,39,0.701815664768219
1591287020.1570716,40,0.715782105922699
1591287544.9586537,41,0.7081005573272705
1591288079.9819942,42,0.6976256966590881
1591288606.0133235,43,0.7185754179954529
1591289139.5927646,44,0.714385449886322
1591289696.8784456,45,0.7115921974182129
1591290237.2727535,46,0.7262569665908813
1591290765.4304945,47,0.6969273686408997
1591291307.3570406,48,0.7206704020500183
1591291842.885928,49,0.7115921974182129
1591292381.3245165,50,0.7206704020500183
1591292912.7424448,51,0.7304469347000122
1591293454.5189748,52,0.7276536226272583
1591293986.329682,53,0.7290502786636353
1591294526.177733,54,0.7150837779045105
1591295058.8412123,55,0.7262569665908813
1591295597.6159482,56,0.7304469347000122
1591296130.602688,57,0.7332402467727661
1591296672.1820588,58,0.7311452627182007
1591297202.2294226,59,0.7339385747909546
1591297738.763497,60,0.7234637141227722
1591298273.1661265,61,0.7339385747909546
1591298807.3505123,62,0.7360334992408752
1591299333.7599885,63,0.7227653861045837
1591299863.8772182,64,0.7374301552772522
1591300398.552715,65,0.7381284832954407
1591300930.3634274,66,0.7304469347000122
1591301466.8396037,67,0.7409217953681946
1591301998.4939344,68,0.7332402467727661
1591302532.5317407,69,0.7472066879272461
1591303067.270221,70,0.7374301552772522
1591303600.8627682,71,0.7395251393318176
1591304129.8117137,72,0.7402234673500061
1591304665.8048093,73,0.7360334992408752
1591305198.3418443,74,0.7332402467727661
